Index,Time,uwTick
328,6.894000,3444
329,6.905000,3455
330,6.915000,3466
331,6.926000,3476
332,6.937000,3487
333,6.947000,3498
334,6.958000,3508
335,6.968000,3518
336,6.979000,3529
337,6.990000,3540
338,7.001000,3551
339,7.012000,3562
340,7.022000,3572
341,7.032000,3582
342,7.042000,3592
343,7.053000,3604
344,7.063000,3614
345,7.074000,3624
346,7.084000,3635
347,7.095000,3645
348,7.105000,3656
349,7.116000,3666
350,7.126000,3677
351,7.138000,3688
352,7.149000,3699
353,7.159000,3709
354,7.169000,3720
355,7.180000,3731
356,7.191000,3741
357,7.201000,3751
358,7.212000,3762
359,7.223000,3773
360,7.234000,3784
361,7.244000,3794
362,7.254000,3804
363,7.265000,3815
364,7.276000,3826
365,7.286000,3836
366,7.297000,3847
367,7.308000,3858
368,7.318000,3869
369,7.329000,3879
370,7.340000,3890
371,7.351000,3901
372,7.361000,3912
373,7.372000,3922
374,7.383000,3934
375,7.395000,3945
376,7.405000,3955
377,7.415000,3966
378,7.426000,3976
379,7.436000,3987
380,7.446000,3997
381,7.457000,4007
382,7.468000,4018
383,7.478000,4028
384,7.488000,4039
385,7.500000,4051
386,7.511000,4061
387,7.523000,4073
388,7.533000,4083
389,7.543000,4093
390,7.554000,4104
391,7.565000,4115
392,7.576000,4126
393,7.587000,4137
394,7.598000,4148
395,7.608000,4158
396,7.619000,4169
397,7.630000,4180
398,7.640000,4190
399,7.650000,4201
400,7.662000,4212
401,7.673000,4223
402,7.684000,4234
403,7.695000,4245
404,7.706000,4256
405,7.716000,4266
406,7.726000,4276
407,7.737000,4287
408,7.747000,4298
409,7.758000,4308
410,7.768000,4318
411,7.779000,4329
412,7.790000,4340
413,7.801000,4351
414,7.812000,4362
415,7.822000,4372
416,7.832000,4382
417,7.843000,4394
418,7.855000,4405
419,7.865000,4416
420,7.877000,4427
421,7.888000,4438
422,7.898000,4448
423,7.909000,4459
424,7.920000,4470
425,7.930000,4480
426,7.941000,4491
427,7.951000,4501
428,7.962000,4513
429,7.973000,4523
430,7.984000,4534
431,7.995000,4545
432,8.006000,4557
433,8.017000,4567
434,8.028000,4578
435,8.039000,4590
436,8.049000,4599
437,8.060000,4611
438,8.070000,4621
439,8.082000,4632
440,8.093000,4643
441,8.104000,4654
442,8.114000,4664
443,8.124000,4674
444,8.135000,4686
445,8.146000,4696
446,8.156000,4707
447,8.168000,4718
448,8.178000,4728
449,8.188000,4738
450,8.198000,4749
451,8.209000,4759
452,8.219000,4770
453,8.230000,4780
454,8.240000,4790
455,8.251000,4801
456,8.261000,4812
457,8.272000,4822
458,8.282000,4832
459,8.293000,4843
460,8.303000,4853
461,8.314000,4864
462,8.324000,4875
463,8.335000,4886
464,8.345000,4896
465,8.356000,4906
466,8.366000,4917
467,8.376000,4927
468,8.386000,4937
469,8.397000,4947
470,8.408000,4958
471,8.418000,4969
472,8.429000,4979
473,8.440000,4990
474,8.451000,5001
475,8.462000,5012
476,8.472000,5023
477,8.483000,5033
478,8.493000,5044
479,8.503000,5054
480,8.515000,5065
481,8.526000,5076
482,8.536000,5086
483,8.547000,5098
484,8.558000,5108
485,8.569000,5119
486,8.579000,5129
487,8.589000,5140
488,8.600000,5151
489,8.611000,5162
490,8.622000,5173
491,8.633000,5183
492,8.644000,5194
493,8.654000,5205
494,8.665000,5215
495,8.676000,5226
496,8.686000,5236
497,8.697000,5247
498,8.707000,5258
499,8.718000,5268
500,8.728000,5278
501,8.738000,5289
502,8.750000,5301
503,8.761000,5311
504,8.771000,5321
505,8.782000,5332
506,8.792000,5343
507,8.803000,5353
508,8.813000,5364
509,8.824000,5375
510,8.835000,5386
511,8.845000,5396
512,8.857000,5408
513,8.868000,5419
514,8.878000,5429
515,8.890000,5440
516,8.900000,5450
517,8.910000,5461
518,8.921000,5471
519,8.931000,5482
520,8.942000,5493
521,8.953000,5503
522,8.963000,5514
523,8.974000,5525
524,8.985000,5536
525,8.996000,5546
526,9.006000,5556
527,9.017000,5567
528,9.027000,5578
529,9.038000,5589
530,9.049000,5599
531,9.059000,5610
532,9.070000,5620
533,9.080000,5631
534,9.091000,5641
535,9.102000,5652
536,9.113000,5663
537,9.124000,5674
538,9.135000,5685
539,9.146000,5696
540,9.157000,5707
541,9.167000,5717
542,9.177000,5727
543,9.188000,5738
544,9.199000,5749
545,9.209000,5759
546,9.220000,5770
547,9.230000,5781
548,9.240000,5791
549,9.251000,5801
550,9.261000,5812
551,9.272000,5822
552,9.283000,5833
553,9.293000,5844
554,9.303000,5854
555,9.314000,5864
556,9.324000,5874
557,9.334000,5885
558,9.345000,5896
559,9.356000,5907
560,9.368000,5919
561,9.379000,5929
562,9.389000,5940
563,9.400000,5951
564,9.411000,5962
565,9.423000,5973
566,9.434000,5984
567,9.444000,5995
568,9.455000,6005
569,9.465000,6015
570,9.476000,6026
571,9.486000,6037
572,9.497000,6048
573,9.507000,6058
574,9.518000,6068
575,9.528000,6078
576,9.539000,6089
577,9.549000,6099
578,9.559000,6110
579,9.571000,6121
580,9.581000,6132
581,9.592000,6142
582,9.603000,6153
583,9.613000,6163
584,9.624000,6174
585,9.635000,6185
586,9.645000,6196
587,9.656000,6207
588,9.667000,6218
589,9.678000,6228
590,9.689000,6239
591,9.699000,6250
592,9.710000,6260
593,9.720000,6271
594,9.731000,6281
595,9.741000,6292
596,9.752000,6303
597,9.762000,6313
598,9.773000,6323
599,9.783000,6334
600,9.794000,6344
601,9.804000,6354
602,9.815000,6365
603,9.826000,6376
604,9.837000,6388
605,9.850000,6400
606,9.860000,6410
607,9.870000,6421
608,9.881000,6431
609,9.892000,6442
610,9.902000,6453
611,9.913000,6463
612,9.924000,6474
613,9.934000,6484
614,9.944000,6495
615,9.955000,6506
616,9.966000,6516
617,9.976000,6527
618,9.987000,6537
619,9.997000,6548
620,10.008000,6558
621,10.019000,6569
622,10.030000,6581
623,10.041000,6592
624,10.052000,6603
625,10.062000,6612
626,10.073000,6623
627,10.084000,6634
628,10.095000,6645
629,10.105000,6655
630,10.116000,6666
631,10.127000,6677
632,10.137000,6688
